audience_upload_id,crm_list_name,data_source_category_id,advertiser_id,create_time,crm_households,deprecated,entry_count,household_Count,percentage_match
3413,Agency Roadshow_Contact List,2194770.0,30506,2023-06-29 20:18:25.521,0,False,2312,409.0,565.281173594132
3414,All Ecomm Buyers 6-29-23,2194778.0,32147,2023-06-29 21:32:35.863,0,False,2460514,4050534.0,60.74542270229061
3415,Current Subscribers 6-29-23,2194781.0,32147,2023-06-29 22:10:52.281,0,False,84785,,
3416,crm pre split,2194793.0,35426,2023-06-30 01:50:02.740,0,False,319680,731545.0,43.69929396004347
3417,Active Fishbowl Customers (June 30),2194923.0,35015,2023-06-30 14:52:36.116,0,False,23800,8601.0,276.7120102313684
3418,Fishbowl Expired Customers (June 30),2194926.0,35015,2023-06-30 14:53:37.144,0,False,18700,14745.0,126.8226517463547
3419,Fishbowl Leads List (Lead-SAL) -- (June 30),2194929.0,35015,2023-06-30 14:54:31.589,0,False,148027,133120.0,111.1981670673077
3420,Fishbowl Opportunity Contacts - Non-Customer Accounts (SQLs) -- (June 30),2194932.0,35015,2023-06-30 14:55:24.292,0,False,36919,28262.0,130.63123628901
3421,Customers 06.30,2194935.0,33163,2023-06-30 16:29:54.503,0,False,7539,17612.0,42.8060413354531
3422,SF Leads 6.2023-7.2023,2194943.0,30626,2023-07-01 16:33:03.343,0,False,7347,2457.0,299.023199023199
3423,MC 6.2023-7.2023,2194946.0,30626,2023-07-01 16:41:49.924,0,False,7109,2867.0,247.95953958841994
3424,ShopifyCRMDataJune2023,2194950.0,33694,2023-07-03 14:37:09.204,0,False,11183,26624.0,42.00345552884615
3425,K9 Email List Last 36m,2194982.0,32434,2023-07-03 20:30:46.193,0,True,101722,236748.0,42.96636085626911
3426,K9 Customer Emails Last 12m,2194986.0,32434,2023-07-04 00:21:35.457,0,False,46513,107724.0,43.1779362073447
3427,Email File Suppression List 7.5.23,2195135.0,33743,2023-07-05 16:14:18.096,0,True,2857555,4301209.0,66.43608808593119
3428,Email Suppression List 7.5.23,2195163.0,33743,2023-07-05 17:59:39.847,0,False,2857555,4333977.0,65.93378322035396
3429,(AU) High-Value Shoppers,2195377.0,32040,2023-07-06 04:37:53.581,0,True,106787,3276.0,3259.6764346764344
3430,(US) High-Value Shoppers,2195380.0,32040,2023-07-06 04:38:19.644,0,False,248935,381337.0,65.2795296548722
3431,(AU) Engaged Audience,2195383.0,32040,2023-07-06 04:38:55.205,0,True,194219,4096.0,4741.6748046875
3432,(US) Engaged Audience,2195386.0,32040,2023-07-06 04:39:16.206,0,False,505067,707788.0,71.35851413135008
3433,2023.07.06 - AllOps,2195492.0,31124,2023-07-06 14:38:27.305,0,False,260773,390758.0,66.73516601067668
3434,klaviyo-3rad,2195567.0,34147,2023-07-06 16:16:47.546,0,False,1544,,
3435,klaviyo-3rad-new,2195570.0,34147,2023-07-06 16:19:53.411,0,False,54,,
3436,July 2023 Email List,2195573.0,33993,2023-07-06 16:51:15.427,0,False,68508,102809.0,66.63618943866783
3437,BDR Retargeting_7_6_23,2195601.0,33318,2023-07-06 17:55:41.252,0,False,7697,3686.0,208.8171459576777
3438,NASM MNTN Everyone Except Purchasures 2023,2195918.0,32341,2023-07-10 16:57:29.222,0,False,526484,721715.0,72.94901727136059
3441,Klaviyo Emails - 6.22.2023,2196849.0,32261,2023-07-12 15:16:34.753,0,False,1474,,
3442,Current Subscribers 7-12-23,2196860.0,32147,2023-07-12 18:18:24.967,0,False,83644,,
